category.id,category.name,category.shortname,city,country,created,description,group_photo.base_url,group_photo.highres_link,group_photo.photo_id,group_photo.photo_link,group_photo.thumb_link,group_photo.type,id,join_mode,lat,link,lon,members,name,organizer.member_id,organizer.name,organizer.photo.base_url,organizer.photo.highres_link,organizer.photo.photo_id,organizer.photo.photo_link,organizer.photo.thumb_link,organizer.photo.type,rating,state,timezone,topics,urlname,utc_offset,visibility,who
30,singles,singles,Zürich,CH,1400064119000,"<p><span>Do you fancy meeting other singles in an informal, casual setting?&nbsp;Are you a young professional who often&nbsp;does not have the&nbsp;time or energy to deal with&nbsp;matchmaking and&nbsp;online dating sites? Then you are in the right place. LetsMeet&nbsp;offers you a platform&nbsp;to meet a variety of singles through different networking events.</span> <br></p>
<br>
<p>Hast du Lust auf ein ungezwungenes, lockeres Zusammentreffen mit anderen Singles? Bist du berufstätig und hast du oft keine Zeit und keine Energie dich mit Verkupplungen und Online-Dating Seiten auseinanderzusetzen? Dann bist du hier genau richtig. LetsMeet ermöglicht es dir durch unterschiedliche Networking Events verschiedenste Singles unverbindlich zu treffen. An wen richten wir uns? Unsere Afterwork-Events richten sich an Singles und Nicht-Singles und Freunde und Freunde von Freunden, die Singles mitbringen. Nimm an einem unserer Afterwork-Events teil und packe die Gelegenheit um in interessanter Gesellschaft den Abend ausklingen zu lassen. Du wirst neue Leute kennenlernen und wer weiss, vielleicht wirst du oder deine Single-Freunde eine vielversprechende Bekanntschaft machen. Wir würden uns freuen dich, deine Single-Freunde und Nicht-Single-Freunde sehr bald persönlich kennenzulernen. www.letsmeet.ch </p>",,,,,,,14448452,open,47.380001068115234,https://www.meetup.com/LetsMeet-Singles-in-Switzerland/,8.539999961853027,2879,LetsMeet - Single Network & Events,13230989,Gil ,https://secure.meetupstatic.com,https://secure.meetupstatic.com/photos/member/3/1/6/e/highres_11652654.jpeg,11652654.0,https://secure.meetupstatic.com/photos/member/3/1/6/e/member_11652654.jpeg,https://secure.meetupstatic.com/photos/member/3/1/6/e/thumb_11652654.jpeg,member,4.43,,Europe/Zurich,"[{'urlkey': 'singles', 'name': 'Singles', 'id': 498}, {'urlkey': 'travel', 'name': 'Travel', 'id': 1998}, {'urlkey': 'socialnetwork', 'name': 'Social Networking', 'id': 4422}, {'urlkey': 'expat', 'name': 'Expat', 'id': 4446}, {'urlkey': 'social', 'name': 'Social', 'id': 10581}, {'urlkey': 'fun-times', 'name': 'Fun Times', 'id': 15117}, {'urlkey': 'professional-singles', 'name': 'Single Professionals', 'id': 18216}, {'urlkey': 'dating-and-relationships', 'name': 'Dating and Relationships', 'id': 20246}, {'urlkey': 'international-friends', 'name': 'International Friends', 'id': 50881}, {'urlkey': 'young-professional-singles', 'name': 'Young Professional Singles', 'id': 58259}, {'urlkey': 'culture-exchange', 'name': 'Culture Exchange', 'id': 67622}]",LetsMeet-Singles-in-Switzerland,3600000,public,"Singles, Networker"
30,singles,singles,Zürich,CH,1423214867000,"<p><i><b>Perhaps</b></i> you are the only person in your group of friends <i>without a girl/boyfriend?</i> <i><b>Maybe</b></i> it bothers you to continuously <i>""third wheel"" </i>when out with your friends and their partners? Or <i><b>could it be</b></i> that you are <i>taking a break</i> from swiping right and left on your mobile phone?</p>
<p><b>DearHunt</b> <b>is a group aimed at</b> <b>all Single men &amp; women</b> in and around the Zurich area interested in&nbsp;meeting new friends, partners, and companions.&nbsp;Whether you are a local, a newcomer, or a visitor to Zurich - <i>the purpose of this group is to bring together like-minded individuals face-to-face</i>,&nbsp;by <b>meeting &amp; mingling</b> at monthly events; events include after-work drinks and shared-interest based activities.&nbsp;</p>
<p><b>DearHunt</b> <i>encourages its members to build and grow Zurich's singles community</i> by attending events accompanied by another single of the opposite sex. This provides a larger probability of lasting connections for individuals with whom you share a purpose, goal, interest, or identity. Additionally, these face-to-face introductions, made by singles for singles, stimulate shared community-building.&nbsp;</p>
<p><i>Looking forward to meeting you!</i> <br></p>
<p><span>ⓘ&nbsp;This Meetup platform is not a dating service or dating clinic. I do not claim to be a date coach, matchmaker or otherwise.&nbsp;</span></p>",https://secure.meetupstatic.com,https://secure.meetupstatic.com/photos/event/e/2/c/c/highres_434038060.jpeg,434038060.0,https://secure.meetupstatic.com/photos/event/e/2/c/c/600_434038060.jpeg,https://secure.meetupstatic.com/photos/event/e/2/c/c/thumb_434038060.jpeg,event,18415132,approval,47.380001068115234,https://www.meetup.com/DearHunt/,8.539999961853027,937,DearHunt: Zurich's Singles Community,92439072,Pauline,https://secure.meetupstatic.com,https://secure.meetupstatic.com/photos/member/b/a/2/e/highres_115907662.jpeg,115907662.0,https://secure.meetupstatic.com/photos/member/b/a/2/e/member_115907662.jpeg,https://secure.meetupstatic.com/photos/member/b/a/2/e/thumb_115907662.jpeg,member,4.55,,Europe/Zurich,"[{'urlkey': 'singles', 'name': 'Singles', 'id': 498}, {'urlkey': 'wine', 'name': 'Wine', 'id': 611}, {'urlkey': 'newintown', 'name': 'New In Town', 'id': 1273}, {'urlkey': 'nightlife', 'name': 'Nightlife', 'id': 4392}, {'urlkey': 'socialnetwork', 'name': 'Social Networking', 'id': 4422}, {'urlkey': 'women', 'name': ""Women's Social"", 'id': 10232}, {'urlkey': 'fun-times', 'name': 'Fun Times', 'id': 15117}, {'urlkey': 'professional-networking', 'name': 'Professional Networking', 'id': 15720}, {'urlkey': 'dancing', 'name': 'Dancing', 'id': 17571}, {'urlkey': 'professional-singles', 'name': 'Single Professionals', 'id': 18216}, {'urlkey': 'professional-women', 'name': 'Professional Women', 'id': 26273}, {'urlkey': 'singles-events', 'name': 'Singles events', 'id': 29852}, {'urlkey': 'young-professional-singles', 'name': 'Young Professional Singles', 'id': 58259}, {'urlkey': 'single-parties', 'name': 'Single Parents', 'id': 59433}, {'urlkey': 'singles-singles-singles', 'name': 'Singles, Singles, Singles', 'id': 115707}]",DearHunt,3600000,public_limited,Singles
30,singles,singles,Zürich,CH,1430672495000,"<p>For all those beautiful singles looking forward to finding someone special, welcome on-board. We are a bunch of happy singles, mostly from in/around Zürich. There will be ample activities underway - both indoor and outdoor. <br></p>
<p>Good luck. <br></p>",,,,,,,18574405,open,47.380001068115234,https://www.meetup.com/Zurich-Singles/,8.539999961853027,1346,Zurich Singles Meetup,10207828,Bobby,https://secure.meetupstatic.com,https://secure.meetupstatic.com/photos/member/e/6/c/0/highres_194279072.jpeg,194279072.0,https://secure.meetupstatic.com/photos/member/e/6/c/0/member_194279072.jpeg,https://secure.meetupstatic.com/photos/member/e/6/c/0/thumb_194279072.jpeg,member,4.55,,Europe/Zurich,"[{'urlkey': 'singles', 'name': 'Singles', 'id': 498}, {'urlkey': 'socialnetwork', 'name': 'Social Networking', 'id': 4422}, {'urlkey': 'professional-singles', 'name': 'Single Professionals', 'id': 18216}, {'urlkey': 'singles-30s-and-40s', 'name': 'Singles 30s and 40s', 'id': 19134}, {'urlkey': 'dating-and-relationships', 'name': 'Dating and Relationships', 'id': 20246}, {'urlkey': 'single-women-30s-40s', 'name': ""Single Women 30's-40's"", 'id': 39464}, {'urlkey': '30s-professional-single-guys', 'name': '30s professional single guys', 'id': 51426}, {'urlkey': 'young-professional-singles', 'name': 'Young Professional Singles', 'id': 58259}, {'urlkey': 'singles-over-30', 'name': 'Singles over 30', 'id': 68863}]",Zurich-Singles,3600000,public,Happy singles
30,singles,singles,Zürich,CH,1454235473000,"<p>""Ein Treffen für Singles, die gerne neue Leute kennenlernen und plus-minus um die 50ig sind. Ich starte die Gruppe da der Altersunterschied an anderen Treffen sehr spürbar ist. Natürlich ist das ähnliche Alter keine Garantie für Freund- und Frau-schaften und doch... könnte es doch sein - oder?</p>
<p> Sich vorstellen, plaudern, auch Gesprächspausen zulassen ... Ziel des Treffens könnte die Planung eines gemeinsamen Unternehmens sein: Besuch Ausstellung/Musuem, Kino, Konzert, Velo fahren, Wandern, Picknick&nbsp; u.ä.m - Feuer im Winter draussen grillen (mein Favorit)....Freue mich Dich / Euch kennenzulernen.</p>
<p>A meeting for singles who like to get to know new people in there age. Maybe we will fix a date to do something together. Cinema, concerts or a nice winter-grill in the woods (that's my favorit). Looking forward to getting to know you. <br></p>",,,,,,,19472895,open,47.380001068115234,https://www.meetup.com/Zurich-Singles-uber-40-Meetup/,8.539999961853027,155,"Zürich Singles, +/- 50 Meetup",190294262,katharina,,,,,,,4.84,,Europe/Zurich,"[{'urlkey': 'singles', 'name': 'Singles', 'id': 498}, {'urlkey': 'singles-over-50', 'name': 'Singles Over 50', 'id': 16948}, {'urlkey': 'singles-over-40', 'name': 'Singles Over 40', 'id': 33722}, {'urlkey': 'singles-40s-50s', 'name': ""Singles 40's - 50's"", 'id': 61916}, {'urlkey': 'making-new-friends-over-40', 'name': 'Making New Friends Over 40', 'id': 71412}, {'urlkey': 'singles-40s-50s-and-60s', 'name': 'Singles 40s 50s and 60s', 'id': 559852}]",Zurich-Singles-uber-40-Meetup,3600000,public,+/- 50ig
30,singles,singles,Zürich,CH,1477080991000,"<p>Finding the right man and keeping him can be an arduous task for many of us, but there are secrets of dating and relationships we should all know. This group is for women who would like to find out exactly what does go on in a man's mind. More than just dating and relationship advice, we will be looking at how we think can actually work against us in many instances, as well as how we can increase our confidence levels. Of course many women like to think they can attract any guy, but it's not any guy we are after, it's the right guy, and unfortunately the more we are attracted the more we can sometimes self sabotage.</p> 
<p>This group is for this who want to know more about a subject that we all like to think we are good at, but our results may differ. It's not just about dating, it's about knowing the inside track on how to keep the right man interested in the long term.</p> 
<p>Female empowerment is something we all aspire to enjoy, so why not join the group and we will arrange some top quality speakers to tell us how.</p>",,,,,,,20841862,open,47.380001068115234,https://www.meetup.com/HOW-TO-GET-THAT-GUY-AND-KEEP-HIM/,8.539999961853027,63,HOW TO GET THAT GUY AND KEEP HIM,200768439,vera,https://secure.meetupstatic.com,https://secure.meetupstatic.com/photos/member/c/e/a/e/highres_254392910.jpeg,254392910.0,https://secure.meetupstatic.com/photos/member/c/e/a/e/member_254392910.jpeg,https://secure.meetupstatic.com/photos/member/c/e/a/e/thumb_254392910.jpeg,member,0.0,,Europe/Zurich,"[{'urlkey': 'singles', 'name': 'Singles', 'id': 498}, {'urlkey': 'reladvice', 'name': 'Relationship Advice', 'id': 3301}, {'urlkey': 'self-improvement', 'name': 'Self-Improvement', 'id': 3336}, {'urlkey': 'fun-times', 'name': 'Fun Times', 'id': 15117}, {'urlkey': 'womens-empowerment', 'name': ""Women's Empowerment"", 'id': 17933}, {'urlkey': 'dating-and-relationships', 'name': 'Dating and Relationships', 'id': 20246}, {'urlkey': 'dating-over-35', 'name': 'Dating over 35', 'id': 20662}, {'urlkey': 'successful-relationships', 'name': 'Successful Relationships', 'id': 22480}, {'urlkey': 'loving-relationships', 'name': 'Loving Relationships', 'id': 23933}, {'urlkey': 'female-empowerment', 'name': 'Female Empowerment', 'id': 24461}, {'urlkey': 'self-exploration', 'name': 'Self Exploration', 'id': 29158}, {'urlkey': 'improving-your-relationships', 'name': 'Improving Relationships', 'id': 84906}, {'urlkey': 'dating-advice', 'name': 'Dating Advice', 'id': 97613}, {'urlkey': 'divorce-coaching-and-personal-developent-coaching', 'name': 'divorce coaching and personal developent coaching', 'id': 628822}, {'urlkey': 'single-singles-date-dating-social-speed-networking', 'name': 'Single singles date dating social speed networking', 'id': 1510269}]",HOW-TO-GET-THAT-GUY-AND-KEEP-HIM,3600000,public,Members
30,singles,singles,Zürich,CH,1517952096000,"<p>This is a discussion/debate group geared towards challenging echo chambers and self-reinforcing viewpoints. I will select hot topics for discussion, then ask for volunteers who are willing to thoughtfully advocate for the contrary view.</p>",,,,,,,27401654,open,47.380001068115234,https://www.meetup.com/Flip-Floppers-for-Fun-Feuding-Society/,8.539999961853027,6,Flip Floppers for Fun Feuding Society,200675491,Fried Twinkie,https://secure.meetupstatic.com,https://secure.meetupstatic.com/photos/member/a/8/3/a/highres_270283066.jpeg,270283066.0,https://secure.meetupstatic.com/photos/member/a/8/3/a/member_270283066.jpeg,https://secure.meetupstatic.com/photos/member/a/8/3/a/thumb_270283066.jpeg,member,0.0,,Europe/Zurich,[],Flip-Floppers-for-Fun-Feuding-Society,3600000,public,Members
30,singles,singles,Bern,CH,1486672515000,"<p>How to be single - es musste ein kurzer Meetupgruppenname her - Deine Freunde heiraten, bekommen Kinder und sind mit Päärliabenden beschäftigt und du willst einfach nur auf den Putz hauen und dich mit Gleichgesinnten über das Universum und die Welt austauschen...Dann bist du hier genau richtig! Das Motto sagt schon viel. Bern ist zwar klein aber auch hier lässt es sich leben und auf den Putz hauen ;) Bist du auch um die Dreissig, Single und suchst Gleichgesinnte? Dann let`s go! Dieses Meet up ist nicht als Verkupplungs- oder Datingplattform gedacht sondern als Gruppe bei der sich Singles treffen, die noch nicht gerade Heiraten oder Kinder haben möchten, sondern beruflich neue Perspektiven anstreben, das Nachtleben geniessen wollen, gute Gespräche und den Austausch mit Gleichgesinnten suchen und zusammen eventuell den einen oder anderen Ausflug machen wollen.</p>",,,,,,,22307786,open,46.95000076293945,https://www.meetup.com/How-to-Be-Single-Bern/,7.440000057220459,49,How to Be Single Bern,220805673,Simone,https://secure.meetupstatic.com,https://secure.meetupstatic.com/photos/member/4/2/9/f/highres_264137055.jpeg,264137055.0,https://secure.meetupstatic.com/photos/member/4/2/9/f/member_264137055.jpeg,https://secure.meetupstatic.com/photos/member/4/2/9/f/thumb_264137055.jpeg,member,5.0,,Europe/Zurich,"[{'urlkey': 'singles', 'name': 'Singles', 'id': 498}, {'urlkey': 'nightlife', 'name': 'Nightlife', 'id': 4392}, {'urlkey': 'socialnetwork', 'name': 'Social Networking', 'id': 4422}, {'urlkey': 'conversation', 'name': 'Conversation', 'id': 15099}, {'urlkey': 'fun-times', 'name': 'Fun Times', 'id': 15117}, {'urlkey': 'professional-singles', 'name': 'Single Professionals', 'id': 18216}, {'urlkey': 'eating-drinking-talking-laughing-etc', 'name': 'Eating, Drinking, Talking, Laughing, Etc', 'id': 19130}, {'urlkey': 'young-professional-singles', 'name': 'Young Professional Singles', 'id': 58259}]",How-to-Be-Single-Bern,3600000,public,Mitglieder
30,singles,singles,Zürich,CH,1400064119000,"<p><span>Do you fancy meeting other singles in an informal, casual setting?&nbsp;Are you a young professional who often&nbsp;does not have the&nbsp;time or energy to deal with&nbsp;matchmaking and&nbsp;online dating sites? Then you are in the right place. LetsMeet&nbsp;offers you a platform&nbsp;to meet a variety of singles through different networking events.</span> <br></p>
<br>
<p>Hast du Lust auf ein ungezwungenes, lockeres Zusammentreffen mit anderen Singles? Bist du berufstätig und hast du oft keine Zeit und keine Energie dich mit Verkupplungen und Online-Dating Seiten auseinanderzusetzen? Dann bist du hier genau richtig. LetsMeet ermöglicht es dir durch unterschiedliche Networking Events verschiedenste Singles unverbindlich zu treffen. An wen richten wir uns? Unsere Afterwork-Events richten sich an Singles und Nicht-Singles und Freunde und Freunde von Freunden, die Singles mitbringen. Nimm an einem unserer Afterwork-Events teil und packe die Gelegenheit um in interessanter Gesellschaft den Abend ausklingen zu lassen. Du wirst neue Leute kennenlernen und wer weiss, vielleicht wirst du oder deine Single-Freunde eine vielversprechende Bekanntschaft machen. Wir würden uns freuen dich, deine Single-Freunde und Nicht-Single-Freunde sehr bald persönlich kennenzulernen. www.letsmeet.ch </p>",,,,,,,14448452,open,47.380001068115234,https://www.meetup.com/LetsMeet-Singles-in-Switzerland/,8.539999961853027,2879,LetsMeet - Single Network & Events,13230989,Gil ,https://secure.meetupstatic.com,https://secure.meetupstatic.com/photos/member/3/1/6/e/highres_11652654.jpeg,11652654.0,https://secure.meetupstatic.com/photos/member/3/1/6/e/member_11652654.jpeg,https://secure.meetupstatic.com/photos/member/3/1/6/e/thumb_11652654.jpeg,member,4.43,,Europe/Zurich,"[{'urlkey': 'singles', 'name': 'Singles', 'id': 498}, {'urlkey': 'travel', 'name': 'Travel', 'id': 1998}, {'urlkey': 'socialnetwork', 'name': 'Social Networking', 'id': 4422}, {'urlkey': 'expat', 'name': 'Expat', 'id': 4446}, {'urlkey': 'social', 'name': 'Social', 'id': 10581}, {'urlkey': 'fun-times', 'name': 'Fun Times', 'id': 15117}, {'urlkey': 'professional-singles', 'name': 'Single Professionals', 'id': 18216}, {'urlkey': 'dating-and-relationships', 'name': 'Dating and Relationships', 'id': 20246}, {'urlkey': 'international-friends', 'name': 'International Friends', 'id': 50881}, {'urlkey': 'young-professional-singles', 'name': 'Young Professional Singles', 'id': 58259}, {'urlkey': 'culture-exchange', 'name': 'Culture Exchange', 'id': 67622}]",LetsMeet-Singles-in-Switzerland,3600000,public,"Singles, Networker"
30,singles,singles,Zürich,CH,1423214867000,"<p><i><b>Perhaps</b></i> you are the only person in your group of friends <i>without a girl/boyfriend?</i> <i><b>Maybe</b></i> it bothers you to continuously <i>""third wheel"" </i>when out with your friends and their partners? Or <i><b>could it be</b></i> that you are <i>taking a break</i> from swiping right and left on your mobile phone?</p>
<p><b>DearHunt</b> <b>is a group aimed at</b> <b>all Single men &amp; women</b> in and around the Zurich area interested in&nbsp;meeting new friends, partners, and companions.&nbsp;Whether you are a local, a newcomer, or a visitor to Zurich - <i>the purpose of this group is to bring together like-minded individuals face-to-face</i>,&nbsp;by <b>meeting &amp; mingling</b> at monthly events; events include after-work drinks and shared-interest based activities.&nbsp;</p>
<p><b>DearHunt</b> <i>encourages its members to build and grow Zurich's singles community</i> by attending events accompanied by another single of the opposite sex. This provides a larger probability of lasting connections for individuals with whom you share a purpose, goal, interest, or identity. Additionally, these face-to-face introductions, made by singles for singles, stimulate shared community-building.&nbsp;</p>
<p><i>Looking forward to meeting you!</i> <br></p>
<p><span>ⓘ&nbsp;This Meetup platform is not a dating service or dating clinic. I do not claim to be a date coach, matchmaker or otherwise.&nbsp;</span></p>",https://secure.meetupstatic.com,https://secure.meetupstatic.com/photos/event/e/2/c/c/highres_434038060.jpeg,434038060.0,https://secure.meetupstatic.com/photos/event/e/2/c/c/600_434038060.jpeg,https://secure.meetupstatic.com/photos/event/e/2/c/c/thumb_434038060.jpeg,event,18415132,approval,47.380001068115234,https://www.meetup.com/DearHunt/,8.539999961853027,937,DearHunt: Zurich's Singles Community,92439072,Pauline,https://secure.meetupstatic.com,https://secure.meetupstatic.com/photos/member/b/a/2/e/highres_115907662.jpeg,115907662.0,https://secure.meetupstatic.com/photos/member/b/a/2/e/member_115907662.jpeg,https://secure.meetupstatic.com/photos/member/b/a/2/e/thumb_115907662.jpeg,member,4.55,,Europe/Zurich,"[{'urlkey': 'singles', 'name': 'Singles', 'id': 498}, {'urlkey': 'wine', 'name': 'Wine', 'id': 611}, {'urlkey': 'newintown', 'name': 'New In Town', 'id': 1273}, {'urlkey': 'nightlife', 'name': 'Nightlife', 'id': 4392}, {'urlkey': 'socialnetwork', 'name': 'Social Networking', 'id': 4422}, {'urlkey': 'women', 'name': ""Women's Social"", 'id': 10232}, {'urlkey': 'fun-times', 'name': 'Fun Times', 'id': 15117}, {'urlkey': 'professional-networking', 'name': 'Professional Networking', 'id': 15720}, {'urlkey': 'dancing', 'name': 'Dancing', 'id': 17571}, {'urlkey': 'professional-singles', 'name': 'Single Professionals', 'id': 18216}, {'urlkey': 'professional-women', 'name': 'Professional Women', 'id': 26273}, {'urlkey': 'singles-events', 'name': 'Singles events', 'id': 29852}, {'urlkey': 'young-professional-singles', 'name': 'Young Professional Singles', 'id': 58259}, {'urlkey': 'single-parties', 'name': 'Single Parents', 'id': 59433}, {'urlkey': 'singles-singles-singles', 'name': 'Singles, Singles, Singles', 'id': 115707}]",DearHunt,3600000,public_limited,Singles
30,singles,singles,Zürich,CH,1430672495000,"<p>For all those beautiful singles looking forward to finding someone special, welcome on-board. We are a bunch of happy singles, mostly from in/around Zürich. There will be ample activities underway - both indoor and outdoor. <br></p>
<p>Good luck. <br></p>",,,,,,,18574405,open,47.380001068115234,https://www.meetup.com/Zurich-Singles/,8.539999961853027,1346,Zurich Singles Meetup,10207828,Bobby,https://secure.meetupstatic.com,https://secure.meetupstatic.com/photos/member/e/6/c/0/highres_194279072.jpeg,194279072.0,https://secure.meetupstatic.com/photos/member/e/6/c/0/member_194279072.jpeg,https://secure.meetupstatic.com/photos/member/e/6/c/0/thumb_194279072.jpeg,member,4.55,,Europe/Zurich,"[{'urlkey': 'singles', 'name': 'Singles', 'id': 498}, {'urlkey': 'socialnetwork', 'name': 'Social Networking', 'id': 4422}, {'urlkey': 'professional-singles', 'name': 'Single Professionals', 'id': 18216}, {'urlkey': 'singles-30s-and-40s', 'name': 'Singles 30s and 40s', 'id': 19134}, {'urlkey': 'dating-and-relationships', 'name': 'Dating and Relationships', 'id': 20246}, {'urlkey': 'single-women-30s-40s', 'name': ""Single Women 30's-40's"", 'id': 39464}, {'urlkey': '30s-professional-single-guys', 'name': '30s professional single guys', 'id': 51426}, {'urlkey': 'young-professional-singles', 'name': 'Young Professional Singles', 'id': 58259}, {'urlkey': 'singles-over-30', 'name': 'Singles over 30', 'id': 68863}]",Zurich-Singles,3600000,public,Happy singles
